Feature_1,Feature_2,Interaction_Strength
BIX_BIDFAT,DEMO_RIDAGEMN,1.0472662181234742
DEMO_INDFMPIR,BMX_BMXBMI,1.0158866365801766
DEMO_RIDAGEMN,BPX_BPXDAR,0.8070894435541932
BIX_BIDFAT,DEMO_RIAGENDR,0.6899105300248483
BIX_BIDFAT,ALQ_ALQ130,0.6702839577963756
DEMO_INDFMPIR,DEMO_RIDAGEMN,0.6611882943538566
BIX_BIDFAT,BMX_BMXBMI,0.6463307045753952
BMX_BMXBMI,MPQ_MPQ070,0.5638681712585758
BIX_BIDFAT,DEMO_INDFMPIR,0.49051129294566964
DEMO_RIDAGEMN,MPQ_MPQ070,0.4726341466970817
DEMO_RIDAGEMN,BMX_BMXBMI,0.45490014409271584
BIX_BIDFAT,BPX_BPXDAR,0.436577373820452
DEMO_INDFMPIR,BPX_BPXDAR,0.42789054653912784
BMX_BMXBMI,DEMO_DMDMARTL,0.3861554314930385
DEMO_INDFMPIR,MPQ_MPQ070,0.3495131925517414
DEMO_RIDAGEMN,DEMO_RIAGENDR,0.347486338029388
BMX_BMXBMI,ALQ_ALQ130,0.33099150075831313
DEMO_INDFMPIR,DEMO_DMDMARTL,0.3099881081237662
BIX_BIDFAT,DEMO_DMDHHSIZ,0.29610058883848045
DEMO_INDFMPIR,ALQ_ALQ130,0.2884066328714788
BIX_BIDFAT,MPQ_MPQ070,0.2594176691249658
DEMO_RIDAGEMN,MCQ_MCQ250F,0.23588520052244508
DEMO_INDFMPIR,DEMO_RIAGENDR,0.2228171324098287
DEMO_RIDAGEMN,DEMO_DMDHHSIZ,0.21135205016204026
BMX_BMXBMI,MCQ_MCQ250F,0.21013130826384666
BIX_BIDFAT,DEMO_DMDMARTL,0.20995159509679143
DEMO_RIDAGEMN,ALQ_ALQ130,0.2025064133891923
BIX_BIDFAT,MCQ_MCQ250F,0.20208633809040727
DEMO_RIAGENDR,BPX_BPXDAR,0.19784081247392438
BPX_BPXDAR,ALQ_ALQ130,0.1957266899785296
BPX_BPXDAR,BMX_BMXBMI,0.19472441521373857
DEMO_RIAGENDR,BMX_BMXBMI,0.1915725616079375
DEMO_RIAGENDR,ALQ_ALQ130,0.18744806026972088
BPX_BPXDAR,MCQ_MCQ250F,0.15537502105682596
ALQ_ALQ130,MPQ_MPQ070,0.14951042183136046
DEMO_RIDAGEMN,DEMO_DMDMARTL,0.14480437809616073
DEMO_INDFMPIR,DEMO_DMDHHSIZ,0.14101064615977996
MPQ_MPQ070,DEMO_DMDMARTL,0.12924475063710908
DEMO_DMDHHSIZ,ALQ_ALQ130,0.12787045283138398
DEMO_RIAGENDR,DEMO_DMDHHSIZ,0.12431814304358688
DEMO_RIAGENDR,DEMO_DMDMARTL,0.1178614760489848
DEMO_DMDHHSIZ,BMX_BMXBMI,0.10736754638977568
ALQ_ALQ130,DEMO_DMDMARTL,0.08958554209805661
DEMO_DMDHHSIZ,MPQ_MPQ070,0.08630649916496552
DEMO_DMDHHSIZ,MCQ_MCQ250F,0.08570507843966929
BPX_BPXDAR,DEMO_DMDHHSIZ,0.08446582525766752
DEMO_INDFMPIR,MCQ_MCQ250F,0.0811555398510662
BPX_BPXDAR,DEMO_DMDMARTL,0.07784262034559407
ALQ_ALQ130,MCQ_MCQ250F,0.0602968281177769
MCQ_MCQ250F,MPQ_MPQ070,0.05658756182914209
BPX_BPXDAR,MPQ_MPQ070,0.0515059002491541
DEMO_RIAGENDR,MPQ_MPQ070,0.04968539483853088
DEMO_DMDHHSIZ,DEMO_DMDMARTL,0.045868199047930304
MCQ_MCQ250F,DEMO_DMDMARTL,0.025073206959766826
DEMO_RIAGENDR,MCQ_MCQ250F,0.018046578128019228
