Feature,Correlation,Abs_Correlation
DEMO_RIDAGEMN,0.2016546704953071,0.2016546704953071
DEMO_DMDHHSIZ,-0.1925755439727404,0.1925755439727404
DEMO_DMDMARTL,-0.1876909700953187,0.1876909700953187
ALQ_ALQ130,-0.17128285891681833,0.17128285891681833
BMX_BMXBMI,-0.13800196855685665,0.13800196855685665
BIX_BIDFAT,-0.0766236713093506,0.0766236713093506
MPQ_MPQ070,0.03779847326003727,0.03779847326003727
DEMO_RIAGENDR,0.03240253400836805,0.03240253400836805
MCQ_MCQ250F,-0.01663086676348054,0.01663086676348054
BPX_BPXDAR,0.004991846232146729,0.004991846232146729
